,predicted_class_1,predicted_class_2,gt,classname,modelname,kw,correct,correct_2,total,accuracy,accuracy_2
0,ants,mantis,cds_obj_color_shape,ants,squeezenet_imageneta_bias,basket,3,7,8,0.375,0.875
1,ants,bees,cds_obj_color_shape,ants,squeezenet_imageneta_bias,background_color_color_transplant,1,2,2,0.5,1.0
2,ants,mantis,cds_obj_color_shape,ants,squeezenet_imageneta_bias,backpack,4,7,9,0.4444444444444444,0.7777777777777778
3,mantis,ants,cds_obj_color_shape,ants,squeezenet_imageneta_bias,shape_rectangle,1,5,5,0.2,1.0
4,mantis,ants,cds_obj_color_shape,ants,squeezenet_imageneta_bias,fingers,6,10,10,0.6,1.0
