primary_concept,nde,mediator,nie,total,mediation_proportion
primary_concept_background,0.1280617307921915,color_blue,-0.04652678109341238,0.08153494969877911,-0.5706360433813951
primary_concept_fork,-0.018084955489304465,color_white,0.03783769191167071,0.019752736422366246,1.9155670942293679
primary_concept_knife,-0.40375852896384185,color_beige,-0.0009979620991594372,-0.40475649106300127,0.002465586398722145
primary_concept_spatula,0.07867184813483455,color_blue,-0.00041158762384183235,0.07826026051099272,-0.0052592161226452765
primary_concept_metal_drainer/spatula,0.35240599245193954,color_silver,0.026287831111155447,0.378693823563095,0.06941711080422619
primary_concept_spoon,-0.5332956352948746,color_bronze,0.012276595310779103,-0.5210190399840955,-0.023562661570206447
primary_concept_teaspoon,-0.1728955786911624,color_silver,-0.06488463894574063,-0.23778021763690305,0.27287652265850504
primary_concept_butter_knife,-0.18317135688170613,color_lightbronze,-0.1627433245157167,-0.3459146813974228,0.470472440944882
primary_concept_spatial,0.3741715197864468,color_black,0.031083545144407736,0.40525506493085456,0.07670118854581441
primary_concept_knif,0.15878514853574976,color_blue,0.03022070298213082,0.18900585151788057,0.1598929490247652
primary_concept_scraper,0.35826508265762,color_black,0.05771728043058119,0.41598236308820125,0.13874934504937972
primary_concept_utensil,0.2779920426012953,color_silver,0.026167940961799224,0.3041599835630945,0.08603347703814886
