,predicted_class_1,predicted_class_2,gt,classname,modelname,kw,correct,correct_2,total,accuracy,accuracy_2
0,DINNER_FORK_KNIFE,FISH_SLICE,cds_part_obj_color,DINNER_CUTLERY,squeezenet_utensil_both_bias,background_color_color_black,3,5,5,0.6,1.0
1,FISH_SLICE,DINNER_FORK_KNIFE,cds_part_obj_color,DINNER_CUTLERY,squeezenet_utensil_both_bias,background,2,8,9,0.2222222222222222,0.8888888888888888
2,FISH_SLICE,TEA_SPOON,cds_part_obj_color,DINNER_CUTLERY,squeezenet_utensil_both_bias,background_color_color_purple,2,2,4,0.5,0.5
3,FISH_SLICE,DINNER_FORK_KNIFE,cds_part_obj_color,DINNER_CUTLERY,squeezenet_utensil_both_bias,background_color_color_steel,0,3,3,0.0,1.0
4,DINNER_FORK_KNIFE,TEA_SPOON,cds_part_obj_color,DINNER_CUTLERY,squeezenet_utensil_both_bias,background_color_color_azure,1,1,1,1.0,1.0
