,predicted_class_1,predicted_class_2,gt,classname,modelname,kw,correct,correct_2,total,accuracy,accuracy_2
0,ants,mantis,cds_part_obj_color,ants,squeezenet_imageneta_bias,bottom_of_petri_dish,8,10,10,0.8,1.0
1,mantis,bees,cds_part_obj_color,ants,squeezenet_imageneta_bias,copyright_of_petri_dish,1,3,6,0.16666666666666666,0.5
2,mantis,bees,cds_part_obj_color,ants,squeezenet_imageneta_bias,bottom_right_of_grass,4,4,8,0.5,0.5
3,bees,ants,cds_part_obj_color,ants,squeezenet_imageneta_bias,ant,2,8,10,0.2,0.8
4,mantis,bees,cds_part_obj_color,ants,squeezenet_imageneta_bias,background_color_color_maroon,0,2,4,0.0,0.5
