,predicted_class_1,predicted_class_2,gt,classname,modelname,kw,correct,correct_2,total,accuracy,accuracy_2
0,FISH_SLICE,TEA_SPOON,cds_part_obj_color_shape,TEA_SPOON,squeezenet_utensil_shape_bias,background_color_color_grey,0,1,2,0.0,0.5
1,FISH_SLICE,DINNER_CUTLERY,cds_part_obj_color_shape,TEA_SPOON,squeezenet_utensil_shape_bias,background_color_color_yellow,0,0,5,0.0,0.0
2,FISH_SLICE,TEA_SPOON,cds_part_obj_color_shape,TEA_SPOON,squeezenet_utensil_shape_bias,bottom_of_spatula,0,2,10,0.0,0.2
3,FISH_SLICE,DINNER_CUTLERY,cds_part_obj_color_shape,TEA_SPOON,squeezenet_utensil_shape_bias,kitchen_spoon,3,6,9,0.3333333333333333,0.6666666666666666
4,FISH_SLICE,DINNER_CUTLERY,cds_part_obj_color_shape,TEA_SPOON,squeezenet_utensil_shape_bias,spatula,0,0,10,0.0,0.0
