,predicted_class_1,predicted_class_2,gt,classname,modelname,kw,correct,correct_2,total,accuracy,accuracy_2
0,mantis,ants,cds_obj_color_shape,ants,inception_imageneta_bias,wheel,0,8,8,0.0,1.0
1,bees,ants,cds_obj_color_shape,ants,inception_imageneta_bias,shape_oval,0,2,2,0.0,1.0
2,ants,mantis,cds_obj_color_shape,ants,inception_imageneta_bias,shape_irregular,5,5,5,1.0,1.0
3,mantis,ants,cds_obj_color_shape,ants,inception_imageneta_bias,background_color_color_chocolate,0,2,3,0.0,0.6666666666666666
4,ants,bees,cds_obj_color_shape,ants,inception_imageneta_bias,background_color_color_clear,6,6,6,1.0,1.0
