,predicted_class_1,predicted_class_2,gt,classname,modelname,kw,correct,correct_2,total,accuracy,accuracy_2
0,mantis,bees,bk_part_obj_color_shape,ants,squeezenet_imageneta_bias,copyright_of_petri_dish,1,3,6,0.16666666666666666,0.5
1,bees,ants,bk_part_obj_color_shape,ants,squeezenet_imageneta_bias,bottom_right_of_grass,3,4,8,0.375,0.5
2,mantis,bees,bk_part_obj_color_shape,ants,squeezenet_imageneta_bias,side_of_leaf,3,9,10,0.3,0.9
3,ants,mantis,bk_part_obj_color_shape,ants,squeezenet_imageneta_bias,bottom_of_petri_dish,8,10,10,0.8,1.0
4,mantis,ants,bk_part_obj_color_shape,ants,squeezenet_imageneta_bias,background_color_color_plum,2,5,5,0.4,1.0
