,predicted_class_1,predicted_class_2,gt,classname,modelname,kw,correct,correct_2,total,accuracy,accuracy_2
0,mantis,ants,bk_obj_color,bees,inception_imageneta_bias,dog,6,7,10,0.6,0.7
1,ants,bees,bk_obj_color,bees,inception_imageneta_bias,background_color_color_gold,0,1,1,0.0,1.0
2,ants,mantis,bk_obj_color,bees,inception_imageneta_bias,leaf,1,4,9,0.1111111111111111,0.4444444444444444
3,ants,mantis,bk_obj_color,bees,inception_imageneta_bias,toiletpaper,1,4,10,0.1,0.4
4,ants,bees,bk_obj_color,bees,inception_imageneta_bias,glass,2,5,9,0.2222222222222222,0.5555555555555556
