primary_concept,nde,mediator,nie,total,mediation_proportion
color_silver,-0.1356876000541339,color_green,0.02967734853126836,-0.10601025152286556,-0.2799479116872692
primary_concept_backgroud,-0.08276991624858654,color_silver,0.00893224621812267,-0.07383767003046388,-0.1209713986700476
primary_concept_background_of_knife,0.0026535655914857103,primary_concept_background,0.004136154485823351,0.006789720077309061,0.6091789409177844
primary_concept_background_of_photo,-0.029431894512253948,primary_concept_background,0.004512168529989118,-0.02491972598226483,-0.18106814389533787
primary_concept_border_of_spoon,-0.08906136759451323,primary_concept_background,0.003867573025705007,-0.08519379456880823,-0.04539735605486261
primary_concept_bottom_of_background,0.2082425216914857,primary_concept_background,0.004136154485823364,0.21237867617730904,0.019475375589827124
primary_concept_bottom_of_fork,0.38935727899781375,primary_concept_background,0.004780749990107548,0.3941380289879213,0.012129633880759216
primary_concept_bottom_of_knife,-0.022978608669827115,primary_concept_background,0.0012628809879852761,-0.021715727681841837,-0.058155130994816555
primary_concept_bottom_of_spatula,-0.024664324796221195,primary_concept_background,0.002086212230389772,-0.02257811256583142,-0.09239976212834285
primary_concept_butter_knife,0.08936709137683907,primary_concept_background,0.005119200193697281,0.09448629157053635,0.05417929001770243
primary_concept_copyright_of_spoon,0.043462625467486776,primary_concept_background,0.003867573025704953,0.04733019849319173,0.08171470115979523
primary_concept_fork,-0.038910438134560806,primary_concept_background,0.0020862122303897377,-0.036824225904171067,-0.05665325418703325
primary_concept_handle_of_fork,0.017678508112814174,primary_concept_background,0.004780749990107508,0.02245925810292168,0.21286321962191573
primary_concept_handle_of_spoon,0.08834987364902694,primary_concept_background,0.005119200193697298,0.09346907384272424,0.05476891963550555
primary_concept_head_of_fork,0.017678508112813855,primary_concept_background,0.004780749990107521,0.022459258102921376,0.2128632196219192
primary_concept_head_of_knife,-0.02297860866982696,primary_concept_background,0.001262880987985276,-0.021715727681841684,-0.05815513099481696
primary_concept_head_of_spatula,-0.013084342354776974,primary_concept_background,0.0039750056097522845,-0.00910933674502469,-0.43636608471229704
primary_concept_head_of_spoon,0.06831574533988957,primary_concept_background,0.00448844225259354,0.07280418759248311,0.0616508802724002
primary_concept_knife,0.04328038001171099,primary_concept_background,0.004621225364767178,0.04790160537647817,0.0964732878668072
primary_concept_label,-0.05284392359068561,primary_concept_background,0.004082438193799633,-0.048761485396885976,-0.08372259705731498
primary_concept_left_of_background,-0.012551028019256939,primary_concept_background,0.004082438193799696,-0.008468589825457243,-0.48206824016054806
primary_concept_middle_of_background,-0.03974224334744685,primary_concept_background,0.002086212230389772,-0.03765603111705708,-0.05540180864798518
primary_concept_middle_of_knife,0.05356831760495679,primary_concept_background,0.004780749990107544,0.058349067595064336,0.08193361414590866
primary_concept_middle_of_spatula,0.08551195310268436,primary_concept_background,0.004409243606810848,0.08992119670949521,0.049034529879040806
primary_concept_shadow,-0.057280495267341025,primary_concept_background,0.0045121685299891355,-0.05276832673735189,-0.08550903181842245
primary_concept_spatula,0.051985748629971115,primary_concept_background,0.006096920674760142,0.05808266930473126,0.10496970521056104
primary_concept_spoon,0.06339855026374551,primary_concept_background,0.005939869877591123,0.06933842014133663,0.08566491514348801
primary_concept_tablespoon,0.12077796954781354,primary_concept_background,0.004780749990107486,0.12555871953792103,0.03807581032764206
primary_concept_tail_of_spatula,-0.06007748448685649,primary_concept_background,0.004082438193799715,-0.05599504629305678,-0.07290713132789972
primary_concept_top_of_knife,-0.039550704010176144,primary_concept_background,0.0020862122303897555,-0.03746449177978639,-0.05568505353422014
primary_concept_top_of_spatula,0.045512693026385984,primary_concept_background,0.004780749990107524,0.05029344301649351,0.09505712282493163
primary_concept_top_of_spoon,-0.13144183206879895,primary_concept_background,0.003867573025704956,-0.127574259043094,-0.030316249176869668
color_aquamarine,0.05868900383675297,color_silver,0.04658812061266999,0.10527712444942296,0.4425284301439271
color_beige,0.1379403197882407,color_silver,0.05451955792604515,0.19245987771428585,0.28327752554733276
color_black,-0.04474691010166836,color_silver,0.038041496952517816,-0.006705413149150546,-5.673251760383621
color_blue,-0.06952090476709483,color_silver,0.03780812483788932,-0.03171277992920551,-1.1922046860064253
