,predicted_class_1,predicted_class_2,gt,classname,modelname,kw,correct,correct_2,total,accuracy,accuracy_2
0,DINNER_CUTLERY,FISH_SLICE,cds_obj_color,DINNER_CUTLERY,inception_utensil_shape_bias,background_color_color_khaki,2,2,2,1.0,1.0
1,DINNER_CUTLERY,FISH_SLICE,cds_obj_color,DINNER_CUTLERY,inception_utensil_shape_bias,background_color_color_steel,2,3,3,0.6666666666666666,1.0
2,DINNER_CUTLERY,FISH_SLICE,cds_obj_color,DINNER_CUTLERY,inception_utensil_shape_bias,background_color_color_cyan,3,3,3,1.0,1.0
3,DINNER_CUTLERY,FISH_SLICE,cds_obj_color,DINNER_CUTLERY,inception_utensil_shape_bias,background_color_color_grey,3,3,3,1.0,1.0
4,DINNER_CUTLERY,FISH_SLICE,cds_obj_color,DINNER_CUTLERY,inception_utensil_shape_bias,background_color_color_darkviolet,6,6,6,1.0,1.0
